id,題目,分類,學層,難度(1-5),解決什麼問題,主類別,核心概念,領域,備註,測資數
1,臨時屋,練習題,其他,2,依序填滿臨時屋，算開放了幾間,迴圈與累加,迴圈累加、提前跳出,公共服務,,4
2,超商收銀結帳,練習題,其他,1,算總價、判斷付款是否足夠並找零,條件判斷/分段,加總、條件判斷,生活消費,,4
3,電影院找座位,練習題,其他,2,每段連續空位可容納K人的方式數加總,迴圈與累加,迴圈累加、數學規律,生活消費,"每段 max(0,s-K+1)",4
4,大富翁,練習題,其他,3,環形棋盤擲骰結算金額(下限0),模擬與狀態機,模擬、環狀/模數、條件判斷,遊戲,,4
5,可口便當,師大題目,其他,2,統計套餐數量再依指定順序輸出,清單與計數統計,計數統計、清單,生活消費,與#63相同,2
6,短片欣賞,師大題目,其他,3,連續K場中最多能看到幾部喜歡的短片,搜尋與枚舉,滑動視窗、計數統計,生活娛樂,與#12同型,2
7,最大公因數,練習題,其他,3,多個整數的最大公因數,數學/數論,數論(GCD)、迴圈,數學,,4
8,傳球遊戲,練習題,其他,2,圍圈隔K人傳球直到回到起點,模擬與狀態機,模擬、環狀/模數,遊戲,,4
9,找零錢計算,練習題,其他,3,庫存限制下用最少硬幣找零,貪婪策略,貪婪、清單,生活消費,貪婪+庫存判斷,3
10,班服投票,114桃園市國小,國小,2,三款班服計票找最高票、平手重投,清單與計數統計,計數統計、條件判斷,學校,,3
11,棒球場的座位,114桃園市國小,國小,3,座位號碼換算成區/排/位,條件判斷/分段,整數除法、餘數、分段條件,生活娛樂,,3
12,挑選喜歡的午餐區間,114桃園市國小,國小,3,連續K天中最愛餐點出現最多次的區段,搜尋與枚舉,滑動視窗、計數統計,學校,與#6同型、多個目標字母,3
13,綠能任務挑戰,114桃園市國小,國小,3,環形地圖擲骰累計能量(上限50、歸零補5、記錄最高),模擬與狀態機,模擬、環狀/模數、上下限,遊戲,#4進階版,3
14,購買紀念品,114桃園市國中,國中,3,有限預算與庫存下買最多件紀念品,排序,貪婪、排序,生活消費,便宜先買,4
15,攻擊防禦力平衡,114桃園市國中,國中,3,從3件道具挑最少件讓攻擊=防禦,搜尋與枚舉,枚舉/窮舉、條件判斷,遊戲,子集合枚舉,3
16,檢查碼,114桃園市國中,國中,2,驗證會員卡檢查碼是否合法,字串處理,字串處理、餘數,生活消費,,2
17,校園販賣機自動補貨,114桃園市國中,國中,1,庫存低於10自動補到20，算總罐數,條件判斷/分段,迴圈累加、條件判斷,學校,,3
18,偶數和 (Even Sum),114年台南市國小,國小,1,區間內所有偶數和,迴圈與累加,迴圈累加、條件判斷,數學,,2
19,三角形 (Triangle),114年台南市國小,國小,1,三邊能否構成三角形,條件判斷/分段,條件判斷,數學,,2
20,刮刮樂 (Scratch Card),114年台南市國小,國小,1,三位數中6的個數決定獎金,條件判斷/分段,計數統計、條件判斷,遊戲,,4
21,遊樂場 (Amusement Park),114年台南市國中,國中,2,兒童/成人/套票最便宜組合,條件判斷/分段,條件判斷、數學規律,生活娛樂,"min(兒,成)套票",2
22,歌唱比賽 (Singing Contest),114年台南市國中,國中,2,去最高最低後平均,清單與計數統計,排序/極值、平均,學校,,3
23,質數和 (Prime Sum),114年台南市國中,國中,3,區間內質數和,數學/數論,數論(質數)、迴圈,數學,,3
24,奇緣蛋糕特賣,114年A縣市題目,其他,2,依購買數量分段折扣算蛋糕總價,公式計算,分段條件、公式,生活消費,折扣表在資料中缺漏,2
25,健康小管家,114年A縣市題目,其他,2,BMI計算與分級,公式計算,公式、四捨五入、分段條件,健康,與#37相同,2
26,鋼琴音樂小才子計分挑戰,114年A縣市題目,其他,2,7位評審去最高最低求總分,清單與計數統計,排序/極值、加總,學校,與#38相同,2
27,幸運號碼大樂透,114年A縣市題目,其他,2,5個號碼對中幸運號碼幾個算獎金,清單與計數統計,集合比對、計數統計、查表,遊戲,與#39相同,2
28,魔法公車車票計算,114年A縣市題目,其他,2,公車跨區票價與半票,條件判斷/分段,條件判斷,生活消費,與#41相同,3
29,幸運數字彩虹樂透,114年A縣市題目,其他,2,6個號碼對中開獎號碼幾個算獎金,清單與計數統計,集合比對、計數統計、查表,遊戲,,2
30,我的健康小管家,114年A縣市題目,其他,2,BMR計算與分級,公式計算,公式、分段條件,健康,與#42相同,2
31,東台線上 3C 購物平台,114年A縣市題目,其他,2,依商品編號查價、以-1結束結帳判斷餘額,條件判斷/分段,查表、哨兵迴圈、條件判斷,生活消費,,2
32,程式設計師阿倫,114A校校內評選,其他,2,前兩天之和的數列第N項,迴圈與累加,數列遞推(費氏)、迴圈,數學,,3
33,超市採購即時通,114A校校內評選,其他,1,數量×單價逐筆累加並即時輸出,迴圈與累加,迴圈累加,生活消費,,2
34,金門小三通春運調度,114A校校內評選,其他,3,每小時固定船+加班船的載運模擬,模擬與狀態機,模擬、佇列概念、條件判斷,公共服務,,3
35,數位能量方塊實驗,114A校校內評選,其他,4,三顆骰子依組合規則調整能量，連續3次無效歸零,模擬與狀態機,多條件分類、狀態計數、模擬,科學/遊戲,,4
36,糖尿病血糖趨勢與預警分析,114A校校內評選,其他,4,血糖進入異常區間事件計數與最大連續趨勢差,模擬與狀態機,狀態轉換、趨勢分段、模擬,健康,,2
37,健康小管家,114年新北市國小,國小,2,BMI計算與分級,公式計算,公式、四捨五入、分段條件,健康,與#25相同,2
38,鋼琴小天才計分挑戰,114年新北市國小,國小,2,7位評審去最高最低求總分,清單與計數統計,排序/極值、加總,學校,與#26相同,2
39,幸運號碼大樂透,114年新北市國小,國小,2,5個號碼對中幸運號碼幾個算獎金,清單與計數統計,集合比對、計數統計、查表,遊戲,與#27相同,2
40,小隊長的奇數號碼,114年新北市國小,國小,1,區間內所有奇數和,迴圈與累加,迴圈累加、條件判斷,數學,與#18同型,2
41,航運費用計算,114年新北市國中,國中,2,航道跨水門費用與小船半價,條件判斷/分段,條件判斷,公共服務,與#28相同,3
42,我的健康小管家,114年新北市國中,國中,2,BMR計算與分級,公式計算,公式、分段條件,健康,與#30相同,2
43,智慧倉儲,114年新北市國中,國中,3,依貨物尺寸分配最小可用櫃子並統計,貪婪策略,分類、貪婪分配、清單計數,生活消費,,3
44,王牌教練,114年新北市國中,國中,4,從4~5名選手選4人排棒序使總時間最短,搜尋與枚舉,排列枚舉、最小化,學校,5P4=120種,3
45,圓柱體積計算,114年新竹縣國小,國小,1,圓柱體積(π=3.14)輸出兩位小數,公式計算,公式、格式化輸出,數學,,2
46,身體質量指數計算與健康判斷,114年新竹縣國小,國小,2,BMI計算與三級判斷,公式計算,公式、四捨五入、分段條件,健康,,2
47,房間磁磚的購買計算,114年新竹縣國小,國小,2,房間面積換算最少磁磚包數,公式計算,公式、無條件進位,生活消費,,2
48,美味餐車三明治多重折扣與利潤計算,114年新竹縣國小,國小,2,成本加成定價、分時段折扣、判斷利潤,公式計算,公式、四捨五入、分段條件,生活消費,,2
49,雲端資料備份硬碟統計,114年新竹縣國小,國小,2,依序填滿雲端硬碟算用了幾顆，超量報錯,迴圈與累加,迴圈累加、提前跳出、錯誤處理,科技,#1進階版,2
50,綠色節能競賽:電價分段計費與成本分析,114年新竹縣國小,國小,3,四段累進電價計費並找最低/最高戶,清單與計數統計,累進計費、極值搜尋、四捨五入,公共服務,,2
51,射箭比賽成績計算,114年新竹縣國中,國中,2,射箭依與前一箭比較給倍率算總分,清單與計數統計,序列相鄰比較、條件判斷,運動,,2
52,猜數字,114年新竹縣國中,國中,2,猜數字XAYB比對,清單與計數統計,陣列比對、計數統計,遊戲,,2
53,寶可夢訓練師,114年新竹縣國中,國中,3,寶可夢屬性依出現順序合併計數,清單與計數統計,關聯計數(字典)、保持順序,遊戲,,2
54,機器人行走軌跡,114年新竹縣國中,國中,3,解析U5/D3指令移動機器人並限制邊界,字串處理,字串解析、模擬、邊界檢查,科技,,2
55,學校運動會,114年新竹縣國中,國中,3,班級依分數排序輸出前半名單,排序,排序(帶名稱)、四捨五入,學校,,2
56,機器人跳樓梯,114年新竹縣國中,國中,4,一次最多跳K階到第N階的跳法數,動態規劃,動態規劃/遞迴,數學,爬樓梯DP,2
57,資訊競賽獎勵統計,114年金門縣國中,國中,1,依分數分級統計金銀銅佳作人數,條件判斷/分段,分段條件、計數統計,學校,與#64相同,2
58,台灣星鏈 (T-Starlink) 衛星佈署計畫,114年金門縣國中,國中,2,路段長/間隔/4種模式算衛星數,條件判斷/分段,整數除法、條件判斷,科技,#65進階版,4
59,「一杯心情」飲料調製,114年金門縣國中,國中,3,5種原料依密度降序分層(同密度保持順序),排序,穩定排序、插入排序概念,生活消費,#66進階版,2
60,猜數字小幫手,114年金門縣國中,國中,3,二分搜尋猜1~100並輸出每次猜的數,搜尋與枚舉,二分搜尋、模擬,演算法,#67進階版,2
